Vehicle #,Driver,Dept_t1,Year_t1,Make_t1,Model_t1,Color,VIN,Vehicle  #,Dept_t3,Year_t3,Make_t3,Model_t3,Mileage,Last Service,Service?,Unnamed: 9,Unnamed: 10,Vehicle #_t5,Calvin #,Vehicle Year,Make,Model,Title,Date_of_Service,Notes,Matched_On,Vehicle,Veh #,Current Mileage,Last LOF,Tire Condition IN 32nds,Overall condition,KBB Value,Driver_t4
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,OO7,BS/Advancement,White,8323,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #8,BS,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,OO7,BS/Advancement,White,8323,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #8,BS,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,OO7,BS/Advancement,White,8323,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #8,BS,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,OO7,BS/Advancement,White,8323,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #8,BS,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,OO7,BS/Advancement,White,8323,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #8,BS,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,OO7,BS/Advancement,White,8323,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #8,BS,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,OO7,BS/Advancement,White,8323,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #8,BS,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,OO7,BS/Advancement,White,8323,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #8,BS,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,OO7,BS/Advancement,White,8323,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #8,BS,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,OO7,BS/Advancement,White,8323,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #8,BS,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,OO7,BS/Advancement,White,8323,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #8,BS,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,OO7,BS/Advancement,White,8323,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #8,BS,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,OO7,BS/Advancement,White,8323,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #8,BS,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,OO7,BS/Advancement,White,8323,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #8,BS,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,OO7,BS/Advancement,White,8323,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #8,BS,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,OO7,BS/Advancement,White,8323,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #8,BS,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,17,none,NULL,NULL,NULL,30329.0,3/15/2023,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,18,none,NULL,NULL,NULL,0.0,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,NULL,18,none,NULL,NULL,NULL,0.0,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dept_t3,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL,none
